Text,Sentiment
user aap p . stop break // .   figure I good trade year aapl bad,-1
aap head shoulder pattern play textbook  ,-1
ow cent away pt . dump position great gain  ,1
vs breakout test right good entry point interested,1
fio considerable selling pressure aap link aap fb account %+ revs aap guide capex b +b y y. /,1
aap ong trade,1
aap remember knee toe come head shoulder,-1
ostk watchlist break huge cup w handle pattern,1
bc watch list trigger tuesday today volume b band set stop   ,1
true user I think market tell aap let mobile android way lose lap desk window goog msft,1
vmw short .,-1
amzn short .,-1
deck love price action people yesterday stream ggs wife life,1
axp come catfish buy extreme fractal buy orange dot buy chaos event pwmo  ,1
aj entry . stop .  ,1
"ed weekly triangle pby, .... pdating, ... inform    ",1
"si vfc cae bajo , entrar corto stop loss en ,",-1
"ong bbby beat , stop loss ,",1
user aap   ,-1
ong term bullish underestimate tsa ability print ugly candle today ove sell afternoon,1
msft thinking buy swing trade vome huge today break resistace,1
"aap , lot bid weekly c . delta option create support stock slight rally",1
talk abt demark botched aap medium parade hot hand mass b illusion expert know,-1
racket medium expert pump aap task today,-1
bac consolidation progress ... ... ;-),1
report d.   user atw barclay start overweight,1
msft nice breakout earning close   ,1
buy nfx tomorrow . avg,-1
aap close- like williams line si time gain huge   ,1
spot y u want avoid aap pre earning w/ user yahoofinance start min mark post yesterday   ,-1
adio spot w/ user today   talk iwm leadership new high spy likely course aap  ,1
fbhs weekstight ton right  ,1
user blog find weekstight pattern tmb fbhs eqix find screen  ,1
gs feel right enter swing position,1
vxy add nd tranche short   . dead cat bounce ba bull,-1
acx phase iii statistically st care morphine billion market conservative mkt x sale stock xv bbh,1
goog min dot alert subsciber hge signal omg good  ,1
dakt volume indicate come explosion upside   entry . stop .  ,1
user h break support today drop channel tomorrow ... watch post / . .,-1
x option trader appear k bearish spread jul low open interest strike pos hedge,-1
msft break solid consolidation accumulation I outline area strength microsoft  ,1
ebay rip near pt .ish,1
I trade stock system warn decline price aap sep  ,-1
h close daily t.   ,-1
aap downgrade jefferie hold buy jefferie price target  ,1
aap oppenheimer reduce price target  ,1
aap bc capital lower price target  ,1
aap   hilliard yon buy rating note issue investor thursday  ,1
nice   user gid work nice bullish base,1
aap netflix overprice apple sale  ,1
watchist vbd cox csc cof need confirmation confirm ...,1
aap hour short sale ban present wonder cease like sentiment shift stream,1
nfx moon easy long trade long term,1
watch list stock trigger new buy today include wnc dgi nti xay hta,1
mcp I joker game position speculator,1
aap analyst  ,1
aap bounce current price week   ultimately head  ,-1
aap vxap good vxap tradable hedge aap share long vxap,-1
di bearish downside .,-1
bbby bearish easy . high,-1
ibt volume low today red bring . . high,-1
tpx easy short high like imm wait surge minute red bar volume short away,-1
apo eversal confirm increase volume   ,1
vvtv buy long wealth position overnight . . xmas column ebay finviz sell .,-1
vng sleep long predict wake big volume surge catalyst high level . shot mm day,1
amd bail . drop . think good rebuy catalyst confirmation end .,1
"kbh trade tomorrow long condition meet I shot . .,.,.,. . cover .,.",-1
anad . . like level set   ,1
tho enter confirmation tomorrow look great pos  ,1
gtat close sma macd continue trend higher near cross  ,1
aap hard comprehend classic pump dump asset bubble job die pay parabolic normal stock,-1
user brain fart early post mean zagg deck aap buying ddd distrib design itune ftw b great adsk,1
kcg I wonder paint tape share lot ast time rip day~,1
amn   penny stock alert thing worth cent end year,-1
mcp I look volume v price transaction morning line sand,1
ovi watch list volume ave day line little  ,1
anad watch list st line volume ave day   ,1
fbn watch list st lien day ema volume ave day   ,1
wpi whoopie change actavis act sound like bowel health yogurt ows protester short,-1
point pullback reasonable like nflx,1
tibx love today ... gap fill  ,1
/ stock watchlist higher- hope ur listenin   f kbh gpx ssq sbx csod hd chk ebay tex I itg,1
follow nkd c profit   oh,1
cs look look gd I trade earning :) wk b c aap,1
user come cs train leave station jump stop .,1
mcp testing high stop hit~,1
pcn close bullish today I love vome big boy want I want,1
. ha big intraday level play today,1
nice deal day chy . mil share secondary price o n hod . mcp trainwreck price . mil share .,1
amzn free money trade today land today close,1
aap trader reload selling lot feb p - delta option create support push stock temp,1
gtat hold sma ook like stock try trip . volume come  ,1
aap doji min candle,1
aap buy gold miner point drill earth cash hoard   evil campaign ... mix,1
cs look gd hod :am station pull end pt day magnet . pt away,1
gmc look good filling gap,1
market rollle folk study / day green momo stock lead market low aap vxx,-1
user gmc look like free money trade today head far good,1
ooke fb cst long wk,1
final ddd piece . long . +,1
I tech friend world stock ... s user pcn believe anymore   ,1
buy aap buy cs growth ... aap sell ipad iphone like crazy cs benefit,1
user nkd nfx,1
user cs getting squeeze lol agree pt,1
gap fill time aapl wake,1
anybody hear large credit card payment processing firm unable process payment ma v axp,-1
aap weekly si finally st time autumn low trend line- williams  ,1
anad look break .,1
pal I jazzed tsa I buy time ... user right user nail axe,1
aap bull trap,-1
fave ... user aap close I money short,1
sh enfuego ... maybe icahn long  ,1
gs c march option today leave probably till expiration,1
time free money trade free tweet ignore risk ;) amzn gmc,1
aap herculean task ahead,-1
doomsday aap,-1
aap hmmm ower volume .... ...,-1
aap ouffffff,-1
aap long ratio spread ratio /,1
user zeno course look intra day irrelevant swing trading sign revr  ,-1
listen big signal nvda morning shock fast money  ,1
aap share thought great weekend post video   ,-1
vng overnight position day . look prime accumulate,1
cen hit resistance near today imo break big run new high  ,1
schw new week hi look close hi like buy,1
csn good luck hold long cancer patient need,1
aet dva nice job shake hate close bullish doji candle day,1
aap fail candle close retrace day inverse abcd imo   ,-1
aap dead way,-1
netflix great year week wow nfx,1
glad easy money trade joker think money market synonym long aap,-1
cat ooke miss   gap fill,-1
invn nice follow day great volume,1
breakout today agco cam f gmc ha jec kac mcs mos nke osk pg tex tmo,1
shoot mailman point figure target aap ndx qqq sorry appe head  ,-1
phase irrational exuberance come mind think absurd valuation company amzn cm ax nfx ddd nkd,-1
adnc gap fill ...   set I like mcp chk wcg apo   ,1
zmz look like big power research short intetest,1
user aap stop low today stock dead follow technical tee,-1
af   note clear buyable action tue close +. week support near moe hee  ,1
cam close week strong decent day action +. couple increase volume moe hee  ,1
qgc find long term range . . position trade accumulate low,1
user I think fio pure fb play flash u know analyst fb maybe lose youth kiddy ove instagram,1
hp straight green day little red bar signal switch track red normal profit,-1
cboe decrease volume slight red bar indicate straight day time switch red bar profit,-1
s decrease volume red bar send point high patience wait,-1
ha red bar size ruin jan day target point high wait red,-1
invn panic surge high start short entry save   red bar risky time good scaling start short,-1
invn close eye surge short bagholder day red bar finish big short score,-1
yhoo este nice november   watch break . earning  ,1
gpn invert head shoulder play   ,1
"jpm break important resistance , solid volume trend favour bull  ",1
gis red bar major short target test,-1
da volume decrease look start red bar sequence,-1
gpn test . quick major higher . bullish,1
dsco little bio week dsco huge day soon history,1
cycc . . buy . b easy small float million short,1
gmc gap weak floor stock surprised spill bn hot red coffee bar,-1
mcp way candle week set tone way overall investor sentiment want,1
zqk sign decrease volume minute red bar catalyst volume short . easy,-1
super shot user help I viral I mean putt pressure   goog,1
sam hold mountain green bar eft shoulder red bar head smallone lol red right bar start major short,-1
user I look like ready beast mode ook insider buying nice pick I partake I think timeresearch,1
user ots good setup post week ago eqix expe fb gs hog mon pii qcom qih soda,1
aap want buy,-1
p happen october dec slide happen historic rise wait red start short,-1
vmi nice head shoulder form need left shoulder retest range,-1
user abv infn cbs look great short thank,-1
aap weekly modicum support game long time,-1
think gmc mini nfx making earning corner need watch behave,1
"I pay gmail .... , year , I mean value extraordinary ... goog",1
vhc form symmetrical triangle breakout point . macd bullish si  ,1
wnc consistent pattern new high sell look like selloff,-1
aia decent pattern patient run,1
ctic myx close eye volume surge miss boat fast,1
os time start uptrend fill upside gap break . yield . cent test . . . like,1
os stock close magic number hold stabilization . retest . break point like,1
kbh try short friday . test come . . come . I short attempt break target .,-1
user ife turn like tpx tpx continue red similar pattern,-1
cst look kind interesting need volume lot   ,1
yhoo set new range - start week,1
nkd nov dec disease cure believer short,-1
hot fundamental technical play  ,1
hfc great group ook good  ,1
stz strong breakout drift bit low good action friday  ,1
wfc watch buy signal  ,1
wac near dma great group    ,1
cm good swing trade vome,1
ecent breakout dnkn gmc sbx appear start group form big cup basis jva watch,1
invn huge accumulation selling july low start form right deep long consolidation pattern watch,1
n set beautifully   ,1
ao ong setup ise method candle pattern ):   ,1
cat worth eye today break soon   ,1
josb hit / risk profile quant macro view . . mark model base oscillation zone room,-1
josb outlier risk profile close interesting happen folk exit option write,-1
spx compq ind cat aap wall street future unchanged result caterpillar threat fitch  ,1
u believe aap drop clue pre earning user watch fb  ,1
user cat sorry e r good I I   nice wide guidance kitty cat,-1
ggc watch list gap open volume ave day   ,1
ddd nice buying opp dip entry I wait,1
short float runner today  ,1
bac roll . bull wait setup,-1
profit tighten stop sa indicate major correction loom   ocn nsm egn bid gmc fb nkd,-1
add dt break .,1
eye sbx possible intraday support daily ike stock hold  ,1
eade stock lag es_f bad usual rally ddd ssys soda qih y px kos ft invn  ,-1
aap baby ... large company world   douse oil celebrate book friday daytrade,1
ddd set awesome look bear flag ....  ,-1
midd ong   . trail stop   . stop . . . . . ... . .  ,1
close today ... look enter pull,-1
screw gs utilization lag bp I think solid buy ook div mp hot right oil need,1
ddd bear flag work ... break . .... quick money ....,-1
ma break yhod early high,1
wh . retrace  ,1
vxy aap ...,-1
cen set near week high  ,1
fact I short share public stop . open downside target work option profit,-1
xrx golden crossing imminent sma sma,1
aap ow risk tight stop like follow today confirm,1
aet look like upwards reversal making,1
user ftc decision fhtm ripple industry dumb dumb hf n sna,-1
vhc upwards reversal intraday look good break hod morning,1
hold znga long like dec .. . . big resistance .. hold abv ll,1
nkd hot piece bullflag  ,1
gs daily tweezer abcd reversal short day  ,-1
gpn close magic . popski new level trend trade,1
aap close gap rally imho ...,-1
start ugly nfx today higher open   ,-1
hb h block bet %+ april  ,1
aezs new hod buy . . . target .++ hold overnight,1
hf ns sna deep trouble fortune sell exact bs supplement hold press conference,-1
pcn I promise fill short target day   shock  ,-1
mt ugly today downside volume doji accumulation attempt min  ,-1
add short tm portfolio,-1
definitely major high today d printing   I period group.have exit plan rally methink ddd ssy,-1
user eps south african payment system company ... kcg technically ...,-1
vng green today test high . long today buy .,1
petm ook like water come garden hose ...  ,-1
weird action ... like artificially stuck ...,-1
yhoo   break y channel   resistance mid term bearish prove  ,-1
fx big morning gapper,1
sh hard ya baby,1
good end day volume come deck mako,1
watch cm ss vmw,-1
seller step . vmw,-1
imn good earning short   look,1
aap downtrend market bullish sentiment tomorrow,-1
pal user long strong yhoo axe stock   abuse,1
user time cloud stock vmw cm   ~~ valuation finally come earth ... thankyou ...,-1
amzn- bearish set ahead earning tct member I write note evening trade  ,-1
nkd close try close upside start scale short target,-1
invn cee wait slow volume red bar identical easy,-1
mov good good volume slow red bar mkt drop point cliff dive point,-1
amzn new look aap start plumment,-1
goog leader pack ride gap fill come high joke,-1
gap fill . ddd certain ride profit thesis gets test,-1
nice action time high cm technology igv fdn skyy mtk yt salesforce.com  ,1
sorry aap blackberryz hot iphone   imm,1
new blog post wong ... apple eade market   aapl spy qqq,-1
watch weekly close friday resistance pig ot mcd dia djia fatty mmm  ,1
aap range low end,-1
profit social gaming ... ask pal user founder user   user advisor .... ea,1
ddd trend matter   ,-1
chance buy g pull buying opportunity  ,1
znga break consolidation range upside I . area  ,1
gevo pullback low volume dip buy stop ..watch leg  ,1
ddd fall pre market,-1
time short ax amzn ntap ibm cloud dead ipad come gb version aap eally tim,-1
ngt feed bat ... jpm hsbc head comex I today bash,-1
aap know purchase yesterday right aap need save stock release like temporarily,1
user sorry innovative thing aap yr change size shape memory size crappy map snippy siri,-1
bto amzn feb olle dice,-1
like consol aapl stop,1
mrge flag break like look add .  ,1
dvn break saucer base like  ,1
yhoo   yahoo iberal hangout history love big government lose end,-1
yhoo   short term buyer speculate nfx type flee ental trader shake long term investors shud buy,1
yhoo short interest ratio skew share outstanding buyback imo,1
adjpy sit spy enoc position  ,-1
user buy stock year s ytd sell /,1
gs trade sma yesterday pay today volume average trim,1
kex try short . fill . . stop,-1
"ed weekly triangle pby, .... net profit   ,. .  ",-1
yhoo brokerage come pgrade downgrade week pgrade downgrade stock or- point diff,1
"green weekly triangle pby, .... open sell short .  ",-1
ddd wow nice swing catch pre market,1
"green weekly triangle ktos, ... net profit ,. . gly profit  ",1
"amzn , lot bid feb weekly p delta push market create resistance stock probably bid iv",-1
aap ready ... c .,1
deck pull possible good entry long I like deckc . run earning  ,1
procter pg break today . big positon portfolio share big procter,1
"green weekly triangle ampe, .... net profit   ,. .  ",1
csn k worth sell block trade far today ... celsion roller coaster people sick ...  ,1
gnc power generator perk,1
mdso ong   . trail stop   . prior stop . . . ... . . .  ,1
kbh breakout come stop,1
gs ippin good today,1
de continue new high break /  ,1
gs brainer trade pretty soon,1
gs goldman break ebv- good sign gs market  ,1
gs break bull flag ow volume technical look good  ,1
te strong run resistance stop  ,1
ong position ana fb s imm shd wcx,1
cen chomp bit clear . retrace earning tuesday /  ,1
gs remain revisit later ook good,1
aap dow theory volume confirm trend volume support trend  ,-1
goog decide strike buy close aap flag yesterday,1
m breakout update   ,1
gpo watch list line volume average day   ,1
vxy gs buy es_f future contract feed funny money fight,-1
user good I today green weekly triangle jan sns,-1
like .... don't fight jungle amzn,1
plan hold msft apr overnight thing plan,1
amzn fool errand,1
"tops-   hpq -,   csco -,",-1
jeff bezo wizard ... gross margin theirs gross ... amazon read wall street mind amzn,-1
boy aapl beat I hell january :) ... ahhhh market,1
user solar stock sector bottoming ... tan ts fs stp  ,1
market love amzn middle finger dumb medium,1
chk   confirm expectation   set I like   imm cost aap etc  ,1
"ed weekly triangle snss, .... net profit   ,. .  ",-1
amzn spend yr care qtr qtr turn dime,1
user imm I love short reveal phone young think ip aapl,-1
pcn point short st close magic number break hard way pt,-1
goog patience mkt red big,-1
user xom target . mkt red big tomorrow lead pack,-1
play poker half hour know patsy patsy buffett amzn shortie,1
market wrap video addition watch ist   include fs jcp navb vmc,1
"amzn hunt elephants,,,a plan patience execution patience patience ...  ",-1
speak vehicle bucket list de hog harley deere love new venture  ,1
mcs trigger week pull light volume watch reversal support   ,1
man amzn great fed host ec instance,1
bac negative price action tomorrow likely,-1
nasdaq site nvda nvidia building iphone ipad competitor   ,1
buy nh open ook like new trend,1
fs watch list line volume day average   ,1
sd thx user daily   ,1
talk csod eye today,1
user hess propose plan unlock value look promise investor s  ,1
ngt dump pop fed jpm cb intervention   gd sv gdx hi gox gdxj,-1
"aa ba hd dow jones alcoa +, boeing +,",1
imm lol aap tlye presentation creative guy,-1
mot cbi watchlist wait vol mot . cbi . happen,1
stop cs . . early sorry delay,-1
"green weekly triangle gte, ... net profit   ,. .  ",1
kex option trader continue bullish trading stock buy net k delta hour trading  ,1
like volume I lean cbi bpax profit cbi happen buystop .,1
ide fie lot,-1
hot money canary ddd ssy reverse low ...,-1
vxy aap look add fas feed short vxy acct vacuum clean gdp od sandy news relief fund,-1
n start slide like hf mm shut ky ramification imo long nervous ...,-1
"bt corto en peabody energy si cae bajo , stop loss ,",-1
"user bt short peabody energy bellow , stop loss ,",-1
"user bt corto en peabody energy si cae bajo , stop loss ,",-1
mgam watchlist position  ,1
ngt gdx gdxj short god miner fomc jpm note,-1
story different day ... eader lag aggard eade es_f fight bear ak qih y en kos   ,-1
depo bounce fibo line break . resistance line indicator bish  ,1
heb rip . . hold,1
aap lose strength higher,-1
aap add short,-1
  watch list volume ave day bit line  ,1
aap downtend confirm break triangle ...,-1
wonder fidelity contrafund add reduce aap sure look like goog,1
fio I m ong   untill march,1
ngt nice bounce gap fill ... good reshort jpm,-1
cf open green tomorrow test look set,1
goog I expect new week high come week,1
trade I eye goog gd,1
"compq mission week high ... with, ... ... aap juuuuust aaaanooootherrrrrr . es_f",1
aap goog fb imm I m die reinvent blackberry z   ,1
bgcp nice range break work   ,1
goog hit head trend line break I like googp .  ,-1
fio huge mar volume   ong,1
aap fire sell signal hourly target area short,-1
user aap ok ... action sense yes sense ook   daily volume day ...,-1
aap dae ony profit margin biion yr huge bank balance ..   insanity wait fb,1
aap stock start year   institution want book end month,-1
user aap stop kid support,-1
aap aap close . I plan swing couple day ...,-1
user aap gap sure tommorow,-1
oh qcom thing beauty,1
fio . I I ride overdone imho,1
byd hopefully vs beat help stuck stock,1
cat roll poss bearish bat  ,1
aap sinking hour .. eady gap   tomorrow morning,-1
yhoo blackrock increase position sc g file today million share .,1
"green weekly triangle pby, .... pdate  ",-1
user buffett   interested aap valuation profit dead capital sit bank overseas ;),1
user opportunity buy imho bac . monday pre market,1
short kex price,-1
san diego rock today .... qcom bofi ... banking chip safe bet ...,1
key hold support . face resistance . watch  ,1
fio ong add q earning . share jan- beat . consensus analyst cover company,1
fio turner investment calamos advisor purchase current quarter . m share . blackrock double position,1
q operational cash flow million mil q .. decline q vs. q ....,-1
q net income million operational cash flow million q op eps ... q op high eps,-1
year end account payable increase million million,-1
fio azard capital upgrade fusion io buy neutral price,1
dark cloud cover candle pattern mho y saft fxs,-1
mcp asteroid short update   ,-1
bearish engulfing candle pattern aex afg asfi athn becn tmh gw fo mhk ibn cs aos bt aixg jbht nhi,-1
user kiwis hello friend csn pre market today untouchable situation,-1
bearish engulfing candle pattern ibt becn ayi hcg mo sg mp eg bms cen wie ine,-1
trade idea today   ms onxx nve bgcp  ,1
vxy gs jpm hft ppt window dressing program online,-1
publish znga estimate estimize +. eps +. m ev compare wall street consensus  ,1
aap lot bid weekly c . delta temporarily push stock create support,1
cat bullish macd crossover,1
I csn ed monthy triangle open ong position .,1
jva . tzoo . idcc . cf bt look good,1
man I user   nice bounce support decline   ,1
aap break . retest low low fairly soon,-1
nfx netflix inc nfx increase debt cause concern epot  ,-1
vix rise eader lag reverse vol laggard lead speculative climax ignore warning ddd soda y fb,-1
cbmx b o smart money come afternoon look push day low float end wk little resistance,1
user apple aap time econsider stock split   : solve problem foeve,1
bearish canary bullish coal   aap tip kos spy,-1
aap --   mac world maybe tc anounce time machine ... boom rich,1
k ong   . trail stop   . prior stop . . .  ,1
fnsr great intraday look ..,1
pcn try simple potentially capture primary trend  ,1
pm h hold / til close monday pm bar pm wednesday bar balance  ,1
user autonation stoploss . beat .,1
I short aap right I want position .,-1
apo short setup dma weak group downside . initially  ,-1
kss nice uptrend early january   pick roth . slow mover possible,1
tivo   price action check break . volume   check x avg,1
decline growth margin head shoulder setup pe contraction downside price target  ,-1
amzn ook like stock today distribution day  ,-1
know .... yhoo . month january,1
second good steve ... steve wynn tap today   bell netsuite enterprise   n wynn,1
gap backfill fie,-1
nfx mind lot offer p . stock . offer ook stock dwn,1
asgn watch list line volume ave day   ,1
ocz pleasantly surprise fio result affect   shake I / position bullish,1
user sir ... jury ana csn plain old fraud,1
amzn I ride remain position stop   ook like chicken come home roost,-1
yhoo business insider post yhoo afternoon beautiful aapl meet marissa,1
gv new buy large gainer today fav pullback reversal  ,1
user try buy ange frustrate ong ebay,1
wynn aise dividend . share cc bullish analyst enthuse,1
tpx play motion cover,-1
cee tip edge fall target,-1
user ots ppl r samsung I ewy aap start reduce ipad screen size new model,-1
watch dmnd low entry point replaced csco state california c cs contract pop later,1
user class action de reason search mohan et al v dell inc case detail,-1
iaci short setup bear flag neckline week  ,-1
"green weekly triangle sho, .... pdate scale  ",-1
market wrap video addition watch ist   include byd infn jnp se tgh hs,1
video analysis day trade short amzn  ,-1
think goog entry close,1
zzzactly user watch china grow apple second big market   aap long,1
espn magical   family entertainment   future content tv web bright mixed dis,1
wow tv underrate underloved .... look stock price I sick I miss hate trade .. cbs dis,1
aap drop stop wall street seller stop fear margin drop ... look  ,1
high quality stock produce pocket pivot point thursday abt gpn asgn ocn mth oy ngvc wec ty wynn vs pfmt tts stdy,1
tm ahhh stupid prelim result short want add earning ...,-1
user aap minute pre market   ot fool b toast,-1
"es spy   cnbc,,,real time assessment job number mkt reaction ...  ",-1
n watch list big gap morning   ,1
ms watch list line volume ave day   ,1
esi watch list low line volume day average  ,1
f watch list line volume day average  ,1
aap pmi manufacturing index --- minute ...,-1
aap pmi manufacturing index eslt bad,-1
aap long trend finally ppl hint growth innovation story ... pt fair value,-1
user emn eastman stoploss . beat .,1
jcc vng right wheel house,1
user aap come spy daily aapl //   growth,-1
goog new high soon surprisingly option premium cheap,1
gme nice pop today intraday reversal yesterday afternoon,1
aap straight straight high .. main trend volume look ...,-1
"user aap people think growth slow   true bec quarter weeks,?// ook year year quarter",-1
goog point away new hold time high market leader continue lead  ,1
user emn eastman stoploss . beat . eastman stoploss en . tra batir .,1
dpz look ready break leg,1
wfm build nice bull flag  ,1
user aap rookie sell today   mest loose otof   stubborn,-1
user right thing stop aap flip short// ther othe stock .. nless   aeady short,-1
aig look entry,1
nail goog today,1
user aap let   sorry long I m long also)// r iht annd consolidate week bullish,-1
"switch athx gain astm astm average tp , chance bankrupcty   ong",1
user emn eastman stoploss . beat . eastman stoploss en . tra batir .,1
kex break . secondary price obvious signal ...,-1
eap nice upgrade cross ma,1
ovti long base upside  ,1
bac . sight ... ;-),1
"ed weekly triangle cb, ...... net profit   ,. .  ",-1
"green weekly triangle cb, .... open sell short .  ",-1
sbx solid today continue uptrend hold support close week  ,1
dgi poise break,1
amzn deliver awesomeness single day prime ock I biased ;-),1
qqq qs breaking base pattern today I expect goog hit withing week,1
aap touch close volume earning gap,-1
vp drummond goog sell share outstanding trader base timing,1
user aap I guess pin,-1
actg pick earning   start breakout ook . soon  ,1
aap aw attraction newton sem win,-1
eality hit nkd eiterate sell worth share pt base discount cash flow analysis  ,-1
qcom look good long yesterday close stop,1
aap I agree pin afternoon,-1
goog lookin good,1
goog need bit time break eod,1
dndn wake time,1
nfx I ... feel like distribution day .....  ,-1
guess happen chase synm ...,-1
cost confirming beautifully   week high magnet   I like today   imm mnx wcg wt  ,1
aj start stop  ,1
aap peak break good trade investment imho,-1
aap long want goo week end wnat catch month ...,-1
vsn pull station,1
user aap pin   yep . pin,-1
aap emember friday minute app collapse,-1
long ment I like cup handle pattern earning till late feb  ,1
big block trade alert ig // : share sod   .,-1
user ampe bounce day sell   estimate high,1
aap pin   bellow ..,-1
like volume entry . stop .  ,1
scale vt mar right ight ook good watch volume week   ,1
swhc swing trade quick pick smith wesson   ,1
aap close short k short ater till gap fill -have nice week end g :-),-1
scm scale short,-1
fio action super strong tape bullish ...,-1
day spy goog new high gs come fruition market kind I,1
user nbs strong financial contract progenitor pipeline approval am- expect sacred cow,1
big strong si improve obv I feeling break higher shortly   ,1
peix strong volume w indicator up.once . break resist watch . follow .  ,1
tqnt great day friday tqnt momentum strong volume ong setup  ,1
currently long ana fb s bby wcx vsn,1
c eckitt benckiser ticker ): meet equal dist.tgt bearish weekly candle  ,-1
aap hard time moment dsma line continue watch  ,-1
for invn lead gainer shed week profit overbought market   ,1
california water service group cwt aise annual dividend th consecutive year p e . yield .,1
  purchase .. splurge new mat bikram I hear frond green hot w/ lady --   user,1
great analysis pna  ,1
coh monthly h+s close snap neckline  ,-1
user qcom friday low provide nice test b o level  ,1
aap come far gap fill fit eiffel tower analogy need search eiffel site   know,-1
ceg daily reject fibextension bat short ter h+s wait setup user   ,-1
user comment zynga eady eal money game improve cost   znga // tendevesa,1
system flag buy bac bdn gfi ipg jci m s ts vvs,1
wmt break channel ma line upward direction   ,1
gtxi long . early assume gap spy green detect avg vol  ,1
oii short b liability cash,-1
amzn si macd suggest far downside near term support region ema  ,-1
ati breakout mode monday clear ema high volume bullish macd cross ong  ,1
good time step conside big picte es ym tf spy s c ec jy,-1
follow cst earning feb th amc look interesting day share bid report watchist,1
gae long . . . target .,1
sev nicely green red market,1
jnp watch list near line   ,1
ffiv look like want breakout today,1
good eye ... user fdx break resistance ook continue bullish trend  ,1
peix long .,1
peix long .,1
scm tank real soon imo,-1
"gme gamestop tony bartel announce shift mobile audio ong beat , stoploss ,  ",1
m patent pset   aap ong m beat . stoploss .  ,1
user m patent pset   aap ong m beat . stoploss .  ,1
bot synm . bot peix .,1
nfx asym tri form wait resolution trade  ,1
"nn average tp , easily come , hode ong",1
cee short . target low,-1
nvax interesting level p trend line june good entry point close stop loss,1
zcs bounce day,1
zcs feel bad stop loss got,1
aap kid terranova,-1
marijuana stock smoke mjns cbis hemp new trend hot sector biofuel peix synm biof money focus,1
goog like hours ago national goog week easy + option scalps nfx .. weeee,-1
despite market spook medium wsj aap week,1
pcn work overbought condition rise shakeout today despite market overall  ,1
cee short . avg I short .,-1
anth zcs p time average volume today ots people interest,1
add ebay trading account,1
coh head shoulder update   ,-1
tech stock staying power ibm intel intc qualcomm qcom qcom let aap exposure boot  ,1
nfx nibble early hold night share thought post video  ,1
nfx new hod nice,1
hold ana bby fb gae s vsn wcx,1
hour advanced cc edmc bks hayn pim ezpw mc dgit pab jny mm gff tho caci pmi stz code nb,1
ci long building position . stock like rock today target .++,1
ci spike like huge green bar sort continuation somebody know somete,1
market wrap video addition watch ist   include cah cmi ha kac nfx,1
amzn post earning eversal  ,-1
ym fail break downtrend continuous,-1
k close lower slowly great average volume aware,-1
pcn short interest low beaish point fige tiange gap low confirm inplay  ,-1
dk . continuation  ,1
"spy es trade see,,,turn cnbc noise nonsense,,trust ur technical ...  ",-1
user edon peix history management drop ball run stock price hopefully stay silent time,1
wag good stock winner turn horrible company employee,-1
weekly blog post collection yhoo note newsgrade.blogspot dot com,1
gs   weekly c.,1
way ddd find support ma( p trend continue guy,1
bac . . today imho,1
aj stop + nice gain  ,1
amwd work play week far,1
dexo inverse h+s bounce fib -longer term w ..,1
te stop huge winner  ,1
ong en stop arnd .- entry .  ,1
nfx oi load otm,1
pna try break dt line average daily volume earning tonight  ,1
g swhc break similar bull flag pattern volume light mind,1
swhc break bull flag  ,1
g story tandem  ,1
gme new hod,1
watchlist bounce mhp . coh . amzn ta ook ike gd ongs fom hee,1
qcom interesting new high soon,1
pi effort watch tip,1
"ed monthly triangle csn, ...... pdating  ",1
cen price action look good earning tonight,1
mcp chatter ... I know laugh ...,-1
znga bearish know poker   incredible,1
goog market leader continue hold  ,1
bac strong      week today bull,1
nfx fail attempt new high possible hesitation I like nfxp .  ,-1
user ampe gap business low . x . ma- . target,1
bac resistance heavy volume today radar,1
cbk look breakout entry . stop .  ,1
nfx look good far hourly ooke pull ema hrly maybe  ,-1
aap time start consider ong position finally commitment,1
aap short . soon mrk ollover,-1
sell amzn stock ... flat ^^,-1
user market care beat expectation inflate sii,1
aap begin ollover I,-1
I think obvious valero vo room run I certainly like hfc lot compare p e revenue growth,1
minor pullback nfx beginning major correction investor test water bearish,-1
gdp watch list cross day near line volume ave   ,1
nw ong   . trail stop   . prior stop . . . . .  ,1
user csn yesterday I bough k. k. I continue scale,1
bac   . greedy wait pullback day reenter,1
mhp mco spx spy s&p moody threaten sovereign downgrade response mortgage fraud action   ,-1
tmb suggest follower poise breakout new high buy area . volume  ,1
mhp mco spx spy cnbc   report justice seek b+ s&p mortgage rating civil case criminal charge date,-1
aap bac trade I look involve close,1
long fs   late watch ur stop,1
ook like mcp friday pay,1
nvda break short term downtrend line w/ si rise macd try cross  ,1
user aap sell cnbc dump come,-1
vmw trip deny,1
bi qik win functionality lose cost service q deferred rev decline end loaded estimate tough bar q /,-1
esx break gap,1
"ed weekly triangle kwk, ..... scale p  ",1
v watch tomorrow   ,1
tip coiling like rattlesnake long look high   ,1
exas pretty set   ,1
znga company beat cents seriously doubt accounting trick,-1
porn I znga pokeher,1
mhp kid steroid   ,-1
s good equator user znga yoy sale growth q,-1
ook like intermediate bullish trend break snta safe money month   ,-1
cs weekly tie heavily aap absent catalyst pattern persist ):  ,-1
amn   yep like I penny stock making,-1
amn   penny stock company continue dilute share like ec silver past,-1
ev amazed gainer st recognition guess follower undertheradar,1
ibm short setup . target  ,-1
dndn subtle buy signal occur today set    ,1
f radar?today citigroup initiated?at buy target price,1
aap boken stock,-1
